Taxon_Group,Taxon_orig,Taxon_v2,Changed,Rationale,NonTarget,OTU_MTTI,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Other Non-Insect,Piscicola salmositica,Cystobranchus salmositicus,yes,,FALSE,Hirudinida,Cystobranchus salmositicus,69309,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,Piscicolinae,,,Cystobranchus,,,,,salmositicus
Other Non-Insect,Cystobranchus salmositicus,Cystobranchus salmositicus,no,,FALSE,Hirudinida,Cystobranchus salmositicus,69309,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,Piscicolinae,,,Cystobranchus,,,,,salmositicus
Other Non-Insect,Piscicola milneri,Piscicolidae,yes,,FALSE,Hirudinida,Piscicolidae,69296,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,,,,,,,,,
Other Non-Insect,Piscicola,Piscicolidae,yes,,FALSE,Hirudinida,Piscicolidae,69296,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,,,,,,,,,
Other Non-Insect,Piscicolidae,Piscicolidae,no,,FALSE,Hirudinida,Piscicolidae,69296,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,,,,,,,,,
Other Non-Insect,Hirudinida,Hirudinea,yes,,FALSE,Hirudinida,Hirudinea,69290,Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,,,,
Other Non-Insect,Hirudinidae,Hirudinea,yes,,FALSE,Hirudinida,Hirudinea,69290,Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,,,,
Other Non-Insect,Hirudinea,Hirudinea,no,,FALSE,Hirudinida,Hirudinea,69290,Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,,,,
Other Non-Insect,Branchiobdellida,Branchiobdellida,no,,FALSE,Branchiobdellida,Branchiobdellida,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,
Other Non-Insect,Branchiobdellidae,Branchiobdellida,yes,,FALSE,Branchiobdellida,Branchiobdellida,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,
