estuary	CommonName	LifeStage	SalZone	Winter	Spring	Summer	Fall	All	TaxaName	State	Latitude	Longitude	Count	PctDensity
BOSTON HARBOR	SHORTNOSE STURGEON	ADULTS	0.5-25 ppt	0	0	0	0	0	"SHORTNOSE STURGEON, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	SHORTNOSE STURGEON	ADULTS	>25 ppt	0	0	0	0	0	"SHORTNOSE STURGEON, ADULTS, >25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	SILVER HAKE	ADULTS	0.5-25 ppt	0	2	2.666666667	2.666666667	1.833333333	"SILVER HAKE, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.833333333	0.002505124
BOSTON HARBOR	SILVER HAKE	ADULTS	>25 ppt	0	2	2.666666667	2.666666667	1.833333333	"SILVER HAKE, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.833333333	0.002505124
BOSTON HARBOR	SILVERSIDES	ADULTS	0.5-25 ppt	0	4	5	4.333333333	3.333333333	"SILVERSIDES, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	3.333333333	0.004554771
BOSTON HARBOR	SILVERSIDES	ADULTS	>25 ppt	2.333333333	4.333333333	5	5	4.166666667	"SILVERSIDES, ADULTS, >25 ppt"	MA	42.335	-70.9815	4.166666667	0.005693464
BOSTON HARBOR	SKATES	ADULTS	0.5-25 ppt	0.666666667	1.333333333	2	2	1.5	"SKATES, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.5	0.002049647
BOSTON HARBOR	SKATES	ADULTS	>25 ppt	3	3.666666667	4	3.333333333	3.5	"SKATES, ADULTS, >25 ppt"	MA	42.335	-70.9815	3.5	0.00478251
BOSTON HARBOR	SMOOTH FLOUNDER	ADULTS	0.5-25 ppt	2	2	0	1.333333333	1.333333333	"SMOOTH FLOUNDER, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.333333333	0.001821908
BOSTON HARBOR	SMOOTH FLOUNDER	ADULTS	>25 ppt	2	2	2	2	2	"SMOOTH FLOUNDER, ADULTS, >25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	SOFTSHELL CLAM	ADULTS	0.5-25 ppt	5	5	5	5	5	"SOFTSHELL CLAM, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	5	0.006832157
BOSTON HARBOR	SOFTSHELL CLAM	ADULTS	>25 ppt	5	5	5	5	5	"SOFTSHELL CLAM, ADULTS, >25 ppt"	MA	42.335	-70.9815	5	0.006832157
BOSTON HARBOR	SPINY DOGFISH	ADULTS	0.5-25 ppt	0	0.666666667	2	1.333333333	1	"SPINY DOGFISH, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1	0.001366431
BOSTON HARBOR	SPINY DOGFISH	ADULTS	>25 ppt	0	0.666666667	2	2	1.166666667	"SPINY DOGFISH, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.166666667	0.00159417
BOSTON HARBOR	STRIPED BASS	ADULTS	0.5-25 ppt	0	2	3	2.333333333	1.833333333	"STRIPED BASS, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.833333333	0.002505124
BOSTON HARBOR	STRIPED BASS	ADULTS	>25 ppt	0	2	3	2.333333333	1.833333333	"STRIPED BASS, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.833333333	0.002505124
BOSTON HARBOR	TAUTOG	ADULTS	0.5-25 ppt	0	0.666666667	2	1.333333333	1	"TAUTOG, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1	0.001366431
BOSTON HARBOR	TAUTOG	ADULTS	>25 ppt	0	1.666666667	3	2.666666667	1.833333333	"TAUTOG, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.833333333	0.002505124
BOSTON HARBOR	THREESPINE STICKLEBACK	ADULTS	0.5-25 ppt	3	3	3	3	3	"THREESPINE STICKLEBACK, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	THREESPINE STICKLEBACK	ADULTS	>25 ppt	3	2.666666667	2.333333333	3	2.75	"THREESPINE STICKLEBACK, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.75	0.003757686
BOSTON HARBOR	WHITE HAKE	ADULTS	0.5-25 ppt	0	1.333333333	2	2	1.333333333	"WHITE HAKE, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.333333333	0.001821908
BOSTON HARBOR	WHITE HAKE	ADULTS	>25 ppt	0	3	3	2	2	"WHITE HAKE, ADULTS, >25 ppt"	MA	42.335	-70.9815	2	0.002732863
