SITE	SPECIES	TOTAL	TYPE	PTOLR	NATIVE_MBSS	TROPHIC_MBSS	SILT	PIRHALLA	FIBISTRATA	ACREAGE	LEN_SAMP	AVWID	TOTBIOM	Index.Name
TMDB-439-R-1111	CREEK CHUB	40	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	684.97506	75	2.725	1945	MBSS.2005.Fish
TMDB-439-R-1111	LONGNOSE DACE	112	OTHRCYPR	NOTYPE	N	OM	N	3.72	EPIEDMONT	684.97506	75	2.725	1945	MBSS.2005.Fish
TMDB-635-R-1111	BLACKNOSE DACE	2	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	BLUEGILL	1	SUNFISH	T	IC	IV	N	0.63	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	RIVER CHUB	9	OTHRCYPR	I	N	OM	Y	3.89	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	COMMON SHINER	4	SHINER	I	N	OM	Y	3.83	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	BLUE RIDGE SCULPIN	75	SCULPIN	I	N	IS	Y	0	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	CREEK CHUB	26	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	CUTLIP MINNOW	15	OTHRCYPR	NOTYPE	N	IV	Y	3.83	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	FALLFISH	71	OTHRCYPR	I	N	GE	Y	2.51	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	LONGNOSE DACE	10	OTHRCYPR	NOTYPE	N	OM	N	3.72	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	MARGINED MADTOM	6	MADTOM	I	IY	IV	N	3.52	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	BLUNTNOSE MINNOW	2	OTHRCYPR	T	N	OM	N	2.24	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	REDBREAST SUNFISH	5	SUNFISH	NOTYPE	IY	GE	N	2.11	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
