"SAMPLEID"	"INDEX_NAME"	"INDEX_CLASS"	"transect_area_m2"	"ncol_total"	"lcol_total"	"nt_total"	"ncol_Acropora"	"ncol_AcroOrbi_m2"	"pcol_Acropora"	"nt_BCG_att123"	"nt_BCG_att1234"	"nt_BCG_att5"	"pt_BCG_att5"	"LCSA3D_samp_m2"	"LCSA3D_BCG_att1234_m2"	"LCSA3D_LRBC_m2"	"ncol_SmallWeedy"	"pcol_SmallWeedy"
"Samp8514"	"CORAL_TEST"	"CORAL_TEST"	20	38	3.63758615972639	8	0	0	0	1	5	3	37.5	769.497286705615	402.153802964473	309.618682226838	35	92.1052631578947
"Samp8612"	"CORAL_TEST"	"CORAL_TEST"	20	107	4.67282883446191	6	0	0	0	1	3	3	50	1632.15771815527	135.798876743154	108.683005151857	105	98.1308411214953
"Samp8648"	"CORAL_TEST"	"CORAL_TEST"	20	7	1.94591014905531	2	0	0	0	0	0	2	100	23.5138392644154	0	0	5	71.4285714285714
"Samp8656"	"CORAL_TEST"	"CORAL_TEST"	20	21	3.04452243772342	5	6	0.3	28.5714285714286	2	4	1	20	532.871055415675	529.022604415028	482.036159289775	11	52.3809523809524
"Samp8707"	"CORAL_TEST"	"CORAL_TEST"	20	5	1.6094379124341	3	0	0	0	1	3	0	0	20.6614694844967	20.6614694844967	15.6029162635946	1	20
"Samp8725"	"CORAL_TEST"	"CORAL_TEST"	20	17	2.83321334405622	2	0	0	0	0	1	1	50	44.3602700163921	11.396127350897	11.396127350897	17	100
"Samp8738"	"CORAL_TEST"	"CORAL_TEST"	20	13	2.56494935746154	4	0	0	0	0	1	3	75	41.083588878698	5.33187178176443	5.33187178176443	13	100
"Samp8740"	"CORAL_TEST"	"CORAL_TEST"	20	16	2.77258872223978	2	0	0	0	0	1	1	50	54.3456259162864	2.82743338823081	2.82743338823081	16	100
"Samp8759"	"CORAL_TEST"	"CORAL_TEST"	20	11	2.39789527279837	4	0	0	0	0	2	2	50	78.7852532658065	51.8755486924015	51.8755486924015	9	81.8181818181818
"Samp8763"	"CORAL_TEST"	"CORAL_TEST"	20	9	2.19722457733622	4	0	0	0	0	2	2	50	127.111194958733	88.6722380457353	88.6722380457353	6	66.6666666666667
"Samp8803"	"CORAL_TEST"	"CORAL_TEST"	20	19	2.94443897916644	5	0	0	0	1	2	3	60	220.772674837451	21.2069285089762	0	14	73.6842105263158
"Samp8809"	"CORAL_TEST"	"CORAL_TEST"	10	3	1.09861228866811	1	0	0	0	0	0	1	100	182.026627242565	0	0	0	0
"Samp8810"	"CORAL_TEST"	"CORAL_TEST"	20	5	1.6094379124341	4	0	0	0	0	1	3	75	35.1292890524411	16.3559167527519	16.3559167527519	2	40
"Samp8816"	"CORAL_TEST"	"CORAL_TEST"	10	2	0.693147180559945	2	0	0	0	1	1	1	50	22.1874981159779	3.18086256175967	0	0	0
"Samp8893"	"CORAL_TEST"	"CORAL_TEST"	20	3	1.09861228866811	2	0	0	0	1	2	0	0	45.0659502662047	45.0659502662047	31.8555531578597	1	33.3333333333333
"Samp9036"	"CORAL_TEST"	"CORAL_TEST"	20	14	2.63905732961526	4	0	0	0	1	3	1	25	393.731880283592	352.184317439867	352.184317439867	11	78.5714285714286
"Samp9142"	"CORAL_TEST"	"CORAL_TEST"	20.111111	21	3.04452243772342	7	0	0	0	2	4	3	42.8571428571429	419.664927202537	289.628375041264	212.440224175056	11	52.3809523809524
"Samp9147"	"CORAL_TEST"	"CORAL_TEST"	20.111111	27	3.29583686600433	6	0	0	0	1	4	2	33.3333333333333	272.315227061117	187.520538332543	134.933791786177	22	81.4814814814815
"Samp9168"	"CORAL_TEST"	"CORAL_TEST"	20.111111	9	2.19722457733622	4	0	0	0	0	2	2	50	89.4185577205084	83.566473527591	83.566473527591	4	44.4444444444444
"Samp9371"	"CORAL_TEST"	"CORAL_TEST"	20.111111	99	4.59511985013459	10	0	0.0497237571807942	0	2	7	3	30	413.587702766896	314.038127020921	135.289564138512	91	91.9191919191919
"Samp9380"	"CORAL_TEST"	"CORAL_TEST"	20.111111	2	0.693147180559945	2	0	0	0	0	2	0	0	30.6526585453512	30.6526585453512	30.6526585453512	1	50
"Samp9410"	"CORAL_TEST"	"CORAL_TEST"	20.111111	32	3.46573590279973	5	0	0	0	0	2	3	60	298.604304510067	142.560051387064	135.061885454197	27	84.375
"Samp9495"	"CORAL_TEST"	"CORAL_TEST"	20.111111	111	4.70953020131233	10	0	0	0	2	7	3	30	517.864930712965	347.56732805169	203.418212228124	105	94.5945945945946
