INDEX_NAME	Index_Region	SITE_TYPE	SampleID	TaxaID	N_TAXA	Exclude	NonTarget	Phylum	Class	Order	Family	Subfamily	Tribe	Genus	BCG_Attr	Thermal_Indicator	FFG	Clinger	LongLived	Noteworthy	Habitat	SubPhylum	InfraOrder	Habit	Life_Cycle	TolVal	FFG2	TolVal2
BCG.PacNW.L65	ALL	hi	17008TIKL	Narpus	9	FALSE	FALSE	Arthropoda	Insecta	Coleoptera	Elmidae	Elminae		Narpus	4	NA	NA	NA		FALSE	RHEO							
BCG.PacNW.L66	ALL	hi	17008TIKL	Neophylax rickeri	2	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Thremmatidae			Neophylax	1	cold_cool	SC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L67	ALL	hi	17008TIKL	Oligochaeta	16	FALSE	FALSE	Annelida	Clitellata						4	NA	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L68	ALL	hi	17008TIKL	Optioservus	62	FALSE	FALSE	Arthropoda	Insecta	Coleoptera	Elmidae	Elminae		Optioservus	4	cool_warm	SC	yes	TRUE	FALSE	GENE							
BCG.PacNW.L69	ALL	hi	17008TIKL	Orthocladiinae	2	TRUE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae			4	NA	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L70	ALL	hi	17008TIKL	Parametriocnemus	2	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Parametriocnemus	4	cold_cool	GC	no	FALSE	FALSE	RHEO							
BCG.PacNW.L71	ALL	hi	17008TIKL	Pisidium	1	FALSE	FALSE	Mollusca	Bivalvia	Veneroida	Sphaeriidae			Pisidium	4	cold_cool	FC	no	TRUE	FALSE	DEPO							
BCG.PacNW.L72	ALL	hi	17008TIKL	Polypedilum	4	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Chironominae	Chironomini	Polypedilum	4	cool_warm	SH	yes	FALSE	FALSE	GENE							
BCG.PacNW.L73	ALL	hi	17008TIKL	Ramellogammarus	1	FALSE	FALSE	Arthropoda	Malacostraca	Amphipoda	Anisogammaridae			Ramellogammarus	4	cool_warm	NA	no	FALSE	FALSE	BRAC							
BCG.PacNW.L74	ALL	hi	17008TIKL	Rhithrogena	1	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Heptageniidae			Rhithrogena	4	cold_cool	SC	yes	FALSE	FALSE	RHEO							
