INDEX_REGION,SourceEntity,StationID,SampleID_Tt,SampleID,RepNum,CollDate,TaxaID,N_TAXA,NonTarget,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus,BCG_Attr,FFG,Habit,Life_Cycle,Habitat,Noteworthy,Thermal_Indicator,Exclude
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Dicranota,5,FALSE,Arthropoda,Insecta,NA,Diptera,Pediciidae,Pediciinae,NA,Dicranota,4,PR,CN,uni,GENE,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Diphetor hageni,14,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Baetidae,NA,NA,Diphetor,4,CG,CN,multi,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Dixa,1,FALSE,Arthropoda,Insecta,NA,Diptera,Dixidae,NA,NA,Dixa,4,CG,SW,multi,SPEC,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Empididae Genus B,2,FALSE,Arthropoda,Insecta,NA,Diptera,Empididae,NA,NA,Empididae Genus B,3,PR,SP,uni,RHEO,TRUE,NA,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Eukiefferiella,2,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Eukiefferiella,4,CG,SP,multi,GENE,NA,NA,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Glossosoma,12,FALSE,Arthropoda,Insecta,NA,Trichoptera,Glossosomatidae,Glossosomatinae,Glossosomatini,Glossosoma,4,SC,CN,multi,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Glossosomatidae,8,FALSE,Arthropoda,Insecta,NA,Trichoptera,Glossosomatidae,NA,NA,NA,4,SC,CN,UN,RHEO,NA,NA,TRUE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Heterlimnius corpulentus,37,FALSE,Arthropoda,Insecta,NA,Coleoptera,Elmidae,Elminae,NA,Heterlimnius,3,SC,CN,semi,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Hydropsyche,212,FALSE,Arthropoda,Insecta,NA,Trichoptera,Hydropsychidae,Hydropsychinae,NA,Hydropsyche,4,CF,CN,uni,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Leptophlebiidae,1,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Leptophlebiidae,NA,NA,NA,3,CG,SP,uni,DEPO,NA,NA,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Malenka,2,FALSE,Arthropoda,Insecta,NA,Plecoptera,Nemouridae,NA,NA,Malenka,4,SH,SP,uni,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Micropsectra,12,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,4,CG,SP,multi,GENE,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Microtendipes,1,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,4,CF,CN,multi,GENE,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Narpus concolor,4,FALSE,Arthropoda,Insecta,NA,Coleoptera,Elmidae,Elminae,NA,Narpus,4,CG,CN,semi,RHEO,NA,cold_cool,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Neaviperla/Suwallia,1,FALSE,Arthropoda,Insecta,NA,Plecoptera,Chloroperlidae,NA,Suwalliini,Neaviperla/Suwallia,3,NA,NA,NA,NA,NA,NA,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Neoplasta,1,FALSE,Arthropoda,Insecta,NA,Diptera,Empididae,Hemerodromiinae,Hemerodromiini,Neoplasta,4,PR,CN,uni,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Oligochaeta,2,FALSE,Annelida,Clitellata,Oligochaeta,NA,NA,NA,NA,NA,4,CG,BU,uni,GENE,NA,NA,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Optioservus,2,FALSE,Arthropoda,Insecta,NA,Coleoptera,Elmidae,Elminae,NA,Optioservus,4,SC,CN,semi,RHEO,NA,cool_warm,FALSE
MARIPACNW,King County - DNRP,136,Tt_98,9263_14266,14266,2017-08-15,Pagastia,1,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Diamesinae,Diamesini,Pagastia,3,CG,SP,multi,GENE,NA,cold_cool,FALSE
